time,open,high,low,close,volume,open_interest
2025-07-25 09:15:00+05:30,25010.35,25010.35,24938.4,24954.55,0,0
2025-07-25 09:16:00+05:30,24954.45,24958.9,24939.65,24939.65,0,0
2025-07-25 09:17:00+05:30,24938.3,24948.65,24936.55,24942.5,0,0
2025-07-25 09:18:00+05:30,24942.15,24942.6,24923.9,24930.1,0,0
2025-07-25 09:19:00+05:30,24928.85,24938.15,24926.15,24934.5,0,0
2025-07-25 09:20:00+05:30,24935.05,24935.8,24924.45,24926.2,0,0
2025-07-25 09:21:00+05:30,24926.9,24929.85,24917.55,24920.65,0,0
2025-07-25 09:22:00+05:30,24919.75,24920.45,24907.45,24917.4,0,0
2025-07-25 09:23:00+05:30,24916.8,24925.4,24916.8,24924.6,0,0
2025-07-25 09:24:00+05:30,24924.5,24933.0,24923.45,24932.85,0,0
2025-07-25 09:25:00+05:30,24931.6,24933.05,24924.35,24928.65,0,0
2025-07-25 09:26:00+05:30,24929.9,24934.3,24928.8,24931.15,0,0
2025-07-25 09:27:00+05:30,24931.0,24945.5,24931.0,24943.0,0,0
2025-07-25 09:28:00+05:30,24943.6,24980.05,24943.6,24973.5,0,0
2025-07-25 09:29:00+05:30,24973.7,24992.3,24971.25,24990.85,0,0
2025-07-25 09:30:00+05:30,24991.55,24993.85,24971.9,24981.45,0,0
2025-07-25 09:31:00+05:30,24981.6,24984.35,24976.15,24982.35,0,0
2025-07-25 09:32:00+05:30,24982.45,24982.9,24965.85,24968.6,0,0
2025-07-25 09:33:00+05:30,24968.4,24980.5,24967.9,24972.9,0,0
2025-07-25 09:34:00+05:30,24972.4,24972.6,24950.0,24950.0,0,0
2025-07-25 09:35:00+05:30,24950.15,24963.2,24946.35,24962.5,0,0
2025-07-25 09:36:00+05:30,24961.85,24962.7,24954.25,24955.3,0,0
2025-07-25 09:37:00+05:30,24955.2,24967.9,24954.1,24966.45,0,0
2025-07-25 09:38:00+05:30,24966.65,24978.75,24966.05,24978.15,0,0
2025-07-25 09:39:00+05:30,24977.55,24977.55,24969.1,24973.5,0,0
2025-07-25 09:40:00+05:30,24972.5,24973.45,24962.1,24962.95,0,0
2025-07-25 09:41:00+05:30,24963.45,24964.95,24947.55,24947.65,0,0
2025-07-25 09:42:00+05:30,24947.95,24950.0,24939.45,24939.45,0,0
2025-07-25 09:43:00+05:30,24939.45,24939.6,24932.15,24935.5,0,0
2025-07-25 09:44:00+05:30,24935.9,24936.3,24924.6,24926.35,0,0
2025-07-25 09:45:00+05:30,24926.6,24937.25,24922.9,24924.0,0,0
2025-07-25 09:46:00+05:30,24925.55,24930.6,24921.5,24924.0,0,0
2025-07-25 09:47:00+05:30,24924.6,24924.85,24916.9,24919.3,0,0
2025-07-25 09:48:00+05:30,24919.45,24921.85,24915.5,24915.5,0,0
2025-07-25 09:49:00+05:30,24916.3,24924.65,24912.7,24922.15,0,0
2025-07-25 09:50:00+05:30,24923.15,24943.35,24922.7,24942.65,0,0
2025-07-25 09:51:00+05:30,24941.95,24943.3,24931.6,24931.6,0,0
2025-07-25 09:52:00+05:30,24931.9,24932.6,24925.05,24927.6,0,0
2025-07-25 09:53:00+05:30,24927.85,24933.65,24926.1,24930.3,0,0
2025-07-25 09:54:00+05:30,24929.6,24930.3,24919.85,24923.1,0,0
2025-07-25 09:55:00+05:30,24922.6,24933.45,24922.4,24930.9,0,0
2025-07-25 09:56:00+05:30,24931.75,24941.85,24931.4,24941.85,0,0
2025-07-25 09:57:00+05:30,24941.8,24946.85,24933.95,24934.3,0,0
2025-07-25 09:58:00+05:30,24934.8,24937.2,24924.95,24926.0,0,0
2025-07-25 09:59:00+05:30,24925.2,24929.85,24920.9,24928.55,0,0
2025-07-25 10:00:00+05:30,24928.85,24931.25,24926.1,24926.4,0,0
2025-07-25 10:01:00+05:30,24925.8,24928.7,24919.55,24921.0,0,0
2025-07-25 10:02:00+05:30,24920.8,24930.2,24920.8,24928.0,0,0
2025-07-25 10:03:00+05:30,24928.7,24937.15,24927.5,24937.15,0,0
2025-07-25 10:04:00+05:30,24937.35,24940.75,24929.9,24929.9,0,0
2025-07-25 10:05:00+05:30,24929.6,24930.35,24922.25,24922.6,0,0
2025-07-25 10:06:00+05:30,24922.35,24927.8,24921.7,24927.7,0,0
2025-07-25 10:07:00+05:30,24925.55,24926.5,24913.9,24913.9,0,0
2025-07-25 10:08:00+05:30,24913.6,24920.25,24910.9,24919.3,0,0
2025-07-25 10:09:00+05:30,24920.05,24920.05,24910.4,24911.9,0,0
2025-07-25 10:10:00+05:30,24911.9,24912.45,24907.5,24910.7,0,0
2025-07-25 10:11:00+05:30,24911.05,24918.9,24910.25,24912.75,0,0
2025-07-25 10:12:00+05:30,24912.65,24915.0,24909.2,24909.2,0,0
2025-07-25 10:13:00+05:30,24909.2,24916.3,24907.15,24916.2,0,0
2025-07-25 10:14:00+05:30,24915.85,24925.1,24903.15,24903.3,0,0
2025-07-25 10:15:00+05:30,24903.2,24903.3,24880.9,24888.95,0,0
2025-07-25 10:16:00+05:30,24889.5,24889.5,24864.85,24865.2,0,0
2025-07-25 10:17:00+05:30,24866.4,24872.3,24863.95,24871.65,0,0
2025-07-25 10:18:00+05:30,24872.25,24873.75,24866.0,24866.55,0,0
2025-07-25 10:19:00+05:30,24866.6,24869.2,24863.45,24863.7,0,0
2025-07-25 10:20:00+05:30,24864.95,24877.9,24863.95,24877.9,0,0
2025-07-25 10:21:00+05:30,24878.55,24878.55,24870.35,24873.75,0,0
2025-07-25 10:22:00+05:30,24873.6,24883.05,24873.05,24879.95,0,0
2025-07-25 10:23:00+05:30,24879.5,24880.95,24870.0,24870.5,0,0
2025-07-25 10:24:00+05:30,24870.8,24876.9,24868.8,24874.3,0,0
2025-07-25 10:25:00+05:30,24874.0,24874.0,24869.65,24872.0,0,0
2025-07-25 10:26:00+05:30,24872.55,24877.05,24867.1,24867.6,0,0
2025-07-25 10:27:00+05:30,24868.0,24873.2,24867.95,24873.1,0,0
2025-07-25 10:28:00+05:30,24873.7,24875.4,24866.8,24867.0,0,0
2025-07-25 10:29:00+05:30,24866.9,24874.75,24866.9,24870.65,0,0
2025-07-25 10:30:00+05:30,24870.45,24875.2,24867.9,24868.35,0,0
2025-07-25 10:31:00+05:30,24867.8,24869.15,24854.3,24855.5,0,0
2025-07-25 10:32:00+05:30,24855.15,24867.75,24853.9,24864.35,0,0
2025-07-25 10:33:00+05:30,24864.4,24864.4,24854.65,24860.65,0,0
2025-07-25 10:34:00+05:30,24860.85,24867.1,24860.85,24867.1,0,0
2025-07-25 10:35:00+05:30,24867.5,24869.2,24865.3,24866.7,0,0
2025-07-25 10:36:00+05:30,24866.85,24867.95,24854.85,24854.85,0,0
2025-07-25 10:37:00+05:30,24855.3,24855.3,24845.4,24850.1,0,0
2025-07-25 10:38:00+05:30,24849.45,24851.75,24844.45,24851.75,0,0
2025-07-25 10:39:00+05:30,24851.5,24856.3,24848.2,24852.05,0,0
2025-07-25 10:40:00+05:30,24852.9,24855.15,24851.95,24854.35,0,0
2025-07-25 10:41:00+05:30,24853.55,24854.65,24845.1,24852.15,0,0
2025-07-25 10:42:00+05:30,24853.45,24854.7,24849.8,24854.6,0,0
2025-07-25 10:43:00+05:30,24854.55,24867.05,24854.1,24866.35,0,0
2025-07-25 10:44:00+05:30,24866.6,24873.5,24866.25,24873.5,0,0
2025-07-25 10:45:00+05:30,24872.35,24872.75,24865.4,24867.5,0,0
2025-07-25 10:46:00+05:30,24867.45,24872.25,24866.45,24867.75,0,0
2025-07-25 10:47:00+05:30,24867.35,24869.6,24864.35,24865.05,0,0
